,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-04-27,Shopping,Credit Card,Shoes nike Bailey-Flores,906.32,1.89
1,2024-04-14,Subscriptions,Debit Card,Netflix Pena-Stokes,771.14,0.0
2,2024-04-26,entertainment,Cash,"concert Myers, Miles and Washington",292.49,0.0
3,2024-04-29,Groceries,UPI,"Oil 5 lit Henderson, Smith and Harris",910.2,4.15
4,2024-04-09,Subscriptions,Debit Card,Netflix Velez PLC,128.59,0.0
5,2024-04-23,entertainment,Credit Card,Games Zimmerman Group,590.97,0.52
6,2024-04-02,Groceries,Cash,"Milk 2 lit Jones, Miranda and Harris",982.08,0.0
7,2024-04-09,entertainment,Credit Card,"concert Wilson, Sanchez and Doyle",531.25,0.46
8,2024-04-26,Medicine,Debit Card,"Bitadine Blankenship, Wright and Rogers",187.58,0.0
9,2024-04-11,Shopping,Debit Card,gifts local Jacobson-Daniels,532.7,0.0
10,2024-04-27,Shopping,UPI,electronics flipkart Deleon and Sons,234.58,1.76
11,2024-04-28,Shopping,Credit Card,"electronics flipkart Arias, Rodriguez and Adams",124.34,0.73
12,2024-04-13,Medicine,Credit Card,Digine Shepard Group,631.16,0.55
13,2024-04-14,Transport,Debit Card,bus fare to Cox PLC,752.41,0.0
14,2024-04-03,Medicine,Credit Card,Paracetamol Stokes-Jensen,664.82,0.42
15,2024-04-04,Shopping,Debit Card,Shoes nike Brock Inc,271.59,0.0
16,2024-04-22,Bills,Debit Card,water bill Browning and Sons,345.1,0.0
17,2024-04-26,Transport,UPI,bus fare to Dorsey Ltd,465.9,4.01
18,2024-04-21,Shopping,Credit Card,electronics flipkart Woodard-Johnson,59.26,3.37
19,2024-04-12,entertainment,Debit Card,Club Garza-Stevens,263.12,0.0
20,2024-04-07,Shopping,UPI,clothes Myntra Nunez-Johnson,643.71,3.63
21,2024-04-27,Medicine,Credit Card,"Digine Mccormick, Joseph and Riggs",32.07,2.25
22,2024-04-12,entertainment,Cash,"Games Norton, James and Hinton",969.83,0.0
23,2024-04-21,Subscriptions,UPI,"SonyLiv Reynolds, Duncan and Miles",431.48,3.71
