,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-08-30,Subscriptions,Credit Card,"Hotstar Baxter, Day and Lewis",872.79,3.44
1,2024-08-24,Shopping,Credit Card,gifts local Barker-Sanchez,894.86,0.99
2,2024-08-09,Shopping,Credit Card,"gifts local Nguyen, Phillips and Torres",101.65,0.54
3,2024-08-04,Transport,Cash,train ticket to Bryan Group,468.37,0.0
4,2024-08-09,Shopping,Cash,"electronics flipkart Norton, Nichols and Ferguson",233.99,0.0
5,2024-08-07,Transport,UPI,ride-sharing to Marsh-Baker,444.57,2.01
6,2024-08-20,Shopping,UPI,Shoes nike Price-Williamson,904.26,1.85
7,2024-08-15,Shopping,Debit Card,Shoes nike Davis-Morris,187.08,0.0
8,2024-08-19,Medicine,Credit Card,"Paracetamol Ward, Jimenez and Doyle",431.11,0.61
9,2024-08-27,Subscriptions,Credit Card,"Prime Sloan, Cox and Hernandez",396.71,2.21
10,2024-08-12,Medicine,Debit Card,Bitadine Carter and Sons,393.11,0.0
11,2024-08-03,entertainment,Cash,"Movie Mora, Rosales and Thompson",502.34,0.0
12,2024-08-19,Bills,Cash,"gas bill Ross, Willis and Gibson",821.91,0.0
13,2024-08-26,Bills,UPI,internet bill Campbell-Gonzalez,366.54,4.25
14,2024-08-18,Subscriptions,Cash,SonyLiv Taylor Ltd,107.82,0.0
15,2024-08-21,Subscriptions,Credit Card,"audible Ruiz, Butler and Lee",955.44,4.69
16,2024-08-11,Subscriptions,Cash,"Hotstar Young, Thomas and Matthews",884.79,0.0
17,2024-08-03,Transport,Credit Card,bus fare to Thompson-Green,560.31,3.94
18,2024-08-09,Groceries,Credit Card,Oil 5 lit Freeman-Li,388.95,0.69
19,2024-08-01,Bills,Cash,internet bill Taylor Ltd,954.33,0.0
20,2024-08-20,Medicine,Credit Card,Bitadine Schultz LLC,770.97,0.72
21,2024-08-08,entertainment,Cash,concert Cox-Galvan,461.21,0.0
22,2024-08-06,entertainment,Debit Card,Games Avila-Fuller,47.05,0.0
23,2024-08-23,Medicine,Debit Card,Antacid Foster-Reynolds,399.39,0.0
24,2024-08-17,Subscriptions,Cash,Hotstar Lopez Inc,726.52,0.0
25,2024-08-08,Shopping,UPI,clothes Myntra Ramos-Chavez,768.91,1.29
26,2024-08-06,Bills,UPI,"internet bill Cabrera, Green and Green",932.86,3.93
27,2024-08-12,Bills,Credit Card,"water bill Savage, Powers and Gomez",578.9,2.44
28,2024-08-06,Subscriptions,Debit Card,Netflix Davis Group,192.11,0.0
29,2024-08-15,Transport,Debit Card,"train ticket to Lee, English and Fisher",223.97,0.0
30,2024-08-23,Medicine,UPI,Bitadine Martinez-Kaiser,911.86,2.29
31,2024-08-20,Medicine,Cash,"Antacid Vasquez, Williams and Becker",996.56,0.0
32,2024-08-08,Subscriptions,Debit Card,Prime Gamble and Sons,974.54,0.0
33,2024-08-03,Groceries,Debit Card,Sugar 2kg Higgins and Sons,362.64,0.0
34,2024-08-26,Shopping,Cash,electronics flipkart Beard Group,74.12,0.0
35,2024-08-08,Shopping,UPI,"electronics flipkart Strong, Velasquez and Thomas",874.08,4.71
36,2024-08-30,entertainment,Cash,concert Calderon and Sons,574.54,0.0
37,2024-08-26,Shopping,UPI,electronics flipkart Cook-Guerrero,737.1,3.28
38,2024-08-20,Transport,Credit Card,"bus fare to Harvey, Lambert and Garcia",187.68,4.35
39,2024-08-27,Transport,Debit Card,fuel at Peck Inc,73.5,0.0
40,2024-08-14,Bills,Cash,"internet bill Cortez, Owen and Arnold",823.0,0.0
41,2024-08-19,entertainment,Credit Card,concert Mcmahon Inc,976.3,4.14
42,2024-08-10,Subscriptions,Cash,Hotstar Stewart-May,413.91,0.0
43,2024-08-29,entertainment,Cash,concert Lewis-Herrera,962.1,0.0
44,2024-08-07,Subscriptions,Debit Card,SonyLiv Ball Group,347.68,0.0
45,2024-08-20,Bills,UPI,gas bill Wilson LLC,817.02,1.05
46,2024-08-24,Groceries,UPI,Aatta 5kg Mcpherson-Turner,33.1,3.19
47,2024-08-25,Shopping,Debit Card,"gifts local Daniel, Hood and Carroll",547.92,0.0
48,2024-08-16,Subscriptions,Cash,Netflix Miller and Sons,590.72,0.0
