,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-12-22,entertainment,Credit Card,Club Rhodes Inc,843.69,0.51
1,2024-12-11,entertainment,UPI,Club Clark-Hayden,991.72,4.64
2,2024-12-15,Bills,Credit Card,water bill Patterson-Mcgrath,272.5,2.82
3,2024-12-16,entertainment,UPI,concert Marquez and Sons,46.28,4.74
4,2024-12-05,Medicine,Credit Card,bandage Howe LLC,531.52,1.52
5,2024-12-24,Transport,Credit Card,fuel at Waters-Ellis,533.48,4.83
6,2024-12-13,Subscriptions,Cash,Hotstar Richard-West,546.92,0.0
7,2024-12-10,Medicine,Cash,"Digine Christensen, Young and Moore",821.1,0.0
8,2024-12-26,entertainment,Cash,"Club Davenport, Barnes and Richardson",46.95,0.0
9,2024-12-07,Transport,Cash,train ticket to Thomas Inc,690.67,0.0
10,2024-12-08,Groceries,Credit Card,Sugar 2kg Patterson LLC,788.99,3.3
11,2024-12-29,Shopping,UPI,electronics flipkart Day-Mcdonald,408.78,3.87
12,2024-12-06,entertainment,Cash,Movie Anderson-Ferrell,780.36,0.0
13,2024-12-16,Transport,Cash,ride-sharing to Reid Ltd,346.44,0.0
14,2024-12-30,Transport,UPI,"taxi ride to Kim, White and Barber",859.04,0.26
15,2024-12-18,entertainment,Cash,Games Taylor-Gates,718.97,0.0
16,2024-12-17,Groceries,Cash,"Aatta 5kg Chang, Gonzalez and Smith",469.55,0.0
17,2024-12-16,Bills,Cash,"water bill Rivas, Cruz and James",641.74,0.0
18,2024-12-21,Transport,Credit Card,"bus fare to Harris, Norton and Powell",646.49,4.0
19,2024-12-01,Bills,Credit Card,"electricity bill Martinez, Hayes and Flowers",750.31,1.04
20,2024-12-25,Transport,Credit Card,bus fare to Jackson PLC,496.24,0.97
21,2024-12-13,Subscriptions,UPI,audible Garcia Ltd,919.51,4.65
22,2024-12-20,Subscriptions,UPI,Hotstar Maxwell-Wilson,196.69,4.49
23,2024-12-08,Medicine,Debit Card,Bitadine Meyers Group,394.22,0.0
24,2024-12-07,Bills,Cash,gas bill Nichols-Morgan,875.72,0.0
25,2024-12-02,Bills,Cash,water bill Rocha-Torres,764.81,0.0
26,2024-12-28,Medicine,UPI,bandage Washington Inc,754.68,4.18
27,2024-12-25,Transport,UPI,fuel at Howard-White,953.86,4.65
28,2024-12-25,Subscriptions,UPI,"Netflix Braun, Rivera and Jones",988.63,3.95
29,2024-12-21,Shopping,Credit Card,clothes Myntra Nichols LLC,229.04,2.83
30,2024-12-18,Medicine,Cash,Antacid Rodriguez-Norris,434.36,0.0
31,2024-12-18,entertainment,UPI,Games Morgan-White,913.51,4.18
32,2024-12-06,Groceries,Credit Card,Sugar 2kg Rubio-Wright,916.63,1.16
33,2024-12-04,Groceries,Cash,Milk 2 lit Ellis Ltd,442.19,0.0
34,2024-12-01,Bills,Credit Card,electricity bill Gamble and Sons,838.62,0.21
35,2024-12-16,Transport,Debit Card,fuel at Hanson-Carey,962.8,0.0
36,2024-12-14,Transport,Cash,fuel at Bolton-Walters,479.34,0.0
37,2024-12-23,entertainment,Debit Card,"Games Farrell, Trevino and Taylor",971.73,0.0
38,2024-12-29,Subscriptions,Debit Card,Netflix Orozco Inc,294.36,0.0
39,2024-12-28,Bills,UPI,phone bill Crawford-Martin,515.76,2.18
40,2024-12-06,Subscriptions,Credit Card,Prime Wilson Group,679.53,3.61
41,2024-12-05,Shopping,Credit Card,gifts local Robinson-Kelly,219.0,2.28
42,2024-12-09,entertainment,Cash,Movie Garcia LLC,919.01,0.0
43,2024-12-26,Groceries,UPI,"Oil 5 lit Carr, Andrade and Fox",972.18,0.59
44,2024-12-08,Subscriptions,UPI,audible Singh LLC,758.37,1.15
45,2024-12-09,Shopping,Debit Card,"electronics flipkart Hill, Gallegos and Flores",317.49,0.0
46,2024-12-15,Medicine,Cash,bandage Oneill-Wang,16.42,0.0
47,2024-12-09,Bills,Cash,electricity bill Martin LLC,746.7,0.0
48,2024-12-17,Groceries,UPI,Sugar 2kg Lucero-Rodriguez,742.34,1.38
49,2024-12-10,Subscriptions,UPI,Prime Novak-Young,672.6,4.74
50,2024-12-12,Shopping,Debit Card,Shoes nike Guerrero PLC,778.71,0.0
51,2024-12-04,Shopping,Debit Card,electronics flipkart Morrow-Cannon,506.21,0.0
52,2024-12-18,Bills,Debit Card,internet bill Kelley Ltd,92.27,0.0
53,2024-12-23,Bills,Credit Card,electricity bill Welch-Clements,875.1,3.42
54,2024-12-23,Transport,UPI,ride-sharing to Pratt-Manning,841.22,0.08
55,2024-12-02,Medicine,Debit Card,"Antacid Baker, Sanchez and Mcpherson",227.13,0.0
56,2024-12-02,Groceries,Credit Card,Rice 5 kg Hernandez Group,486.17,4.33
57,2024-12-07,Medicine,UPI,"bandage Reynolds, Campbell and Morton",49.56,1.82
58,2024-12-24,Groceries,Credit Card,Oil 5 lit Palmer-Collins,668.79,2.45
59,2024-12-12,Medicine,UPI,Antacid Fisher-Delgado,26.31,3.47
60,2024-12-03,Groceries,UPI,"Aatta 5kg Reynolds, Bailey and Hall",281.15,2.68
61,2024-12-10,Subscriptions,UPI,Hotstar Smith Ltd,347.9,2.87
62,2024-12-30,Transport,Credit Card,taxi ride to Martin-Castro,134.8,2.9
63,2024-12-21,Subscriptions,Cash,Netflix Soto-Taylor,852.64,0.0
64,2024-12-26,Medicine,UPI,bandage Cooley PLC,401.7,4.04
65,2024-12-21,Bills,UPI,"electricity bill Castillo, Randall and Branch",185.3,3.38
66,2024-12-01,Bills,Debit Card,gas bill Hancock Inc,183.69,0.0
67,2024-12-02,Groceries,Cash,"Sugar 2kg Brown, Bell and Martinez",175.8,0.0
68,2024-12-18,Groceries,Debit Card,"Rice 5 kg Lopez, Castillo and Marshall",828.1,0.0
69,2024-12-04,Bills,UPI,"phone bill Young, Watkins and Washington",319.14,2.96
70,2024-12-06,Shopping,Credit Card,Shoes nike Ruiz PLC,74.21,0.02
71,2024-12-09,Shopping,UPI,"Shoes nike Moses, Jefferson and Hernandez",774.67,2.45
72,2024-12-04,Shopping,UPI,"Shoes nike Bray, Rivera and Massey",720.54,4.93
73,2024-12-14,Transport,UPI,ride-sharing to Evans-Robertson,34.96,4.83
74,2024-12-27,entertainment,UPI,concert Miles and Sons,224.63,4.29
75,2024-12-24,Bills,Debit Card,"electricity bill Clark, Beck and Smith",705.61,0.0
76,2024-12-15,Groceries,UPI,Rice 5 kg Davis-Gilbert,310.2,4.2
77,2024-12-27,Shopping,UPI,gifts local Flores Ltd,340.45,0.71
78,2024-12-08,Transport,Debit Card,taxi ride to Hodges-Montgomery,494.99,0.0
79,2024-12-03,Groceries,Debit Card,"Aatta 5kg Smith, Dean and Wright",911.78,0.0
80,2024-12-18,Groceries,Credit Card,"Sugar 2kg Stark, Lawson and Price",914.67,4.36
81,2024-12-11,Subscriptions,Cash,"Netflix Ortiz, Thompson and Lee",707.31,0.0
82,2024-12-18,Transport,Credit Card,fuel at Harris LLC,253.67,0.46
83,2024-12-14,Groceries,Debit Card,Oil 5 lit Tanner Inc,950.03,0.0
84,2024-12-08,Medicine,Debit Card,"Antacid Booth, Zimmerman and Ferrell",33.19,0.0
85,2024-12-04,Bills,Cash,electricity bill Gregory Group,840.21,0.0
86,2024-12-02,Transport,Credit Card,bus fare to Tucker and Sons,245.28,3.01
87,2024-12-01,Groceries,UPI,Rice 5 kg Ramos-Hall,90.59,1.27
88,2024-12-28,Groceries,UPI,Oil 5 lit Pruitt-Bradley,194.78,0.97
89,2024-12-30,Transport,UPI,"ride-sharing to Collins, Rodriguez and Bryant",450.17,0.66
90,2024-12-28,Shopping,Cash,Shoes nike Washington and Sons,15.38,0.0
91,2024-12-16,Bills,Debit Card,electricity bill Mckee-Sampson,799.55,0.0
92,2024-12-17,Subscriptions,UPI,Hotstar Jefferson-Jackson,884.51,0.46
93,2024-12-18,Bills,UPI,"electricity bill Curtis, Stewart and Saunders",460.36,3.99
94,2024-12-18,Shopping,Credit Card,"clothes Myntra Castro, Mendoza and Conley",776.64,2.03
95,2024-12-20,entertainment,Cash,Games Rodgers-Arnold,447.88,0.0
96,2024-12-13,Groceries,Debit Card,"Milk 2 lit Ramirez, Sanders and Garcia",795.0,0.0
97,2024-12-05,Subscriptions,UPI,"Prime Reed, Bright and Green",339.66,0.18
98,2024-12-01,Bills,UPI,phone bill Jackson-Castro,651.18,2.43
99,2024-12-06,Groceries,Debit Card,"Aatta 5kg Smith, Marshall and Perez",624.76,0.0
100,2024-12-17,entertainment,Credit Card,"Movie Dudley, Keller and Morris",371.15,3.42
101,2024-12-07,entertainment,Debit Card,"Movie Miles, Kelly and Barber",892.45,0.0
102,2024-12-16,Shopping,Debit Card,clothes Myntra Clark-Morton,232.78,0.0
103,2024-12-14,Subscriptions,UPI,"Prime Matthews, Flores and Wagner",424.68,3.94
104,2024-12-30,Subscriptions,Credit Card,Netflix Carroll Inc,91.47,3.42
105,2024-12-14,Medicine,Debit Card,"Paracetamol King, Lee and Booth",766.81,0.0
106,2024-12-15,Transport,Credit Card,"taxi ride to Freeman, Nelson and Finley",603.31,3.58
107,2024-12-27,Groceries,Debit Card,Oil 5 lit Williams-Morrison,598.21,0.0
108,2024-12-06,Subscriptions,UPI,"SonyLiv Moreno, Griffith and Blackwell",398.92,2.04
109,2024-12-21,entertainment,Credit Card,Games Carson-Adams,225.88,2.17
110,2024-12-20,Medicine,UPI,Antacid Hickman-Henderson,891.23,2.21
111,2024-12-25,Subscriptions,Debit Card,"SonyLiv Hunt, Martin and Jones",425.03,0.0
112,2024-12-22,Bills,Cash,internet bill Hernandez LLC,272.57,0.0
113,2024-12-21,Medicine,Debit Card,Digine Stephens-Moreno,377.63,0.0
114,2024-12-10,entertainment,Credit Card,Movie Alvarado-Norman,833.1,2.35
115,2024-12-02,Medicine,Credit Card,Paracetamol Palmer Inc,144.62,4.03
116,2024-12-25,Medicine,Debit Card,Digine Mcdonald-Sanders,562.18,0.0
117,2024-12-03,Subscriptions,UPI,"Prime Graves, Bonilla and Contreras",386.8,2.66
118,2024-12-30,Groceries,Cash,Milk 2 lit Taylor-Graham,438.81,0.0
119,2024-12-30,Shopping,UPI,electronics flipkart Walker Group,736.72,1.74
