,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-02-09,entertainment,Credit Card,Games Ramirez-Wright,138.1,3.61
1,2024-02-23,Bills,Debit Card,"electricity bill Nielsen, Murray and Glover",27.39,0.0
2,2024-02-10,Shopping,Cash,"electronics flipkart Crawford, Price and Jones",82.34,0.0
3,2024-02-14,Groceries,Credit Card,Milk 2 lit Butler-Larson,448.1,4.29
4,2024-02-02,entertainment,Credit Card,concert Marshall-Scott,871.23,4.24
5,2024-02-06,Transport,Cash,ride-sharing to Mccarthy-Tucker,102.1,0.0
6,2024-02-01,Shopping,Credit Card,"gifts local Thompson, Navarro and Hanson",608.45,2.57
7,2024-02-26,entertainment,Cash,"Games Collins, Ali and Montgomery",744.08,0.0
8,2024-02-26,Shopping,Credit Card,electronics flipkart Williams PLC,393.84,2.6
9,2024-02-20,Medicine,Cash,"Bitadine Bell, Ayala and Villa",764.58,0.0
10,2024-02-05,Groceries,Credit Card,Aatta 5kg Vasquez-Thomas,172.93,1.18
11,2024-02-23,Bills,Debit Card,"electricity bill Simpson, Morales and Decker",762.95,0.0
12,2024-02-25,Shopping,UPI,Shoes nike Lewis Group,824.64,4.56
13,2024-02-26,entertainment,Cash,concert Bryan-Clark,760.12,0.0
14,2024-02-04,Groceries,UPI,Rice 5 kg Hopkins LLC,479.88,0.18
15,2024-02-26,entertainment,Debit Card,Games Mcgee-Ross,804.68,0.0
16,2024-02-08,Medicine,Cash,Antacid Fuentes Ltd,889.0,0.0
17,2024-02-20,Transport,Cash,ride-sharing to Baker Inc,598.83,0.0
18,2024-02-19,Transport,Debit Card,"taxi ride to Atkinson, Russell and Rodriguez",916.89,0.0
19,2024-02-01,Bills,UPI,electricity bill Martinez Ltd,581.74,0.23
20,2024-02-11,Bills,Credit Card,phone bill Rice Group,71.87,4.77
21,2024-02-15,Subscriptions,Cash,"SonyLiv Peterson, Smith and Garcia",612.82,0.0
22,2024-02-08,Groceries,UPI,"Aatta 5kg Alvarez, Mercado and Jones",270.98,1.98
23,2024-02-24,Medicine,Credit Card,Paracetamol Rivera PLC,545.14,2.75
24,2024-02-17,Subscriptions,UPI,"audible Poole, Shelton and Duarte",680.37,0.58
25,2024-02-21,Groceries,Debit Card,Oil 5 lit Johnson-Ortiz,364.98,0.0
26,2024-02-27,Bills,UPI,internet bill Williams LLC,107.23,2.72
27,2024-02-02,Groceries,Debit Card,Oil 5 lit Johnson-Miller,976.04,0.0
28,2024-02-19,Groceries,Debit Card,Rice 5 kg Hernandez-May,706.03,0.0
29,2024-02-15,Groceries,Credit Card,Rice 5 kg Kemp PLC,543.03,4.03
30,2024-02-26,Medicine,Credit Card,Paracetamol King Ltd,90.7,1.86
31,2024-02-23,Transport,UPI,ride-sharing to Adkins-Taylor,371.59,2.13
32,2024-02-14,Bills,Cash,water bill Lopez Inc,132.83,0.0
33,2024-02-24,Subscriptions,Credit Card,Prime Barnett-Gallagher,925.01,3.64
34,2024-02-18,Groceries,Cash,"Oil 5 lit Hudson, Greene and Valdez",809.26,0.0
35,2024-02-21,Medicine,Cash,Digine Roberts Inc,914.56,0.0
36,2024-02-16,Groceries,Cash,Oil 5 lit Conley-Johnson,859.89,0.0
37,2024-02-10,Transport,Cash,fuel at Lee-White,179.11,0.0
38,2024-02-10,entertainment,Cash,"Movie English, Hull and Allen",518.56,0.0
39,2024-02-06,Shopping,Debit Card,electronics flipkart Sawyer-Reed,78.7,0.0
40,2024-02-05,Subscriptions,UPI,"Netflix Montgomery, Fields and Wells",312.58,4.62
41,2024-02-06,Shopping,Cash,"Shoes nike Simmons, Hayes and Jackson",946.22,0.0
42,2024-02-15,Medicine,UPI,"bandage Cannon, Meyers and Mccarty",779.45,0.08
43,2024-02-16,Groceries,Cash,"Milk 2 lit Green, Park and Smith",755.88,0.0
44,2024-02-14,Subscriptions,UPI,Hotstar Hopkins and Sons,480.02,3.62
45,2024-02-05,Transport,Credit Card,"ride-sharing to Kelley, Rose and Jimenez",845.84,2.78
46,2024-02-26,Subscriptions,UPI,Prime Mclaughlin-Martinez,919.39,0.81
47,2024-02-25,Transport,Cash,bus fare to Figueroa and Sons,982.05,0.0
48,2024-02-20,Medicine,Credit Card,"Paracetamol Anderson, Mcintyre and Brown",718.66,3.35
49,2024-02-21,entertainment,Credit Card,"Movie Rivera, Mitchell and Nixon",631.57,1.71
50,2024-02-18,Subscriptions,Cash,Netflix Guerrero-Williams,314.61,0.0
51,2024-02-20,Subscriptions,UPI,audible Vargas Group,114.72,3.28
52,2024-02-10,entertainment,Debit Card,Movie Horn-Jordan,630.65,0.0
53,2024-02-02,Subscriptions,Credit Card,"Hotstar Chan, Cuevas and Walsh",988.98,3.81
54,2024-02-25,Transport,UPI,bus fare to Wong Group,607.47,2.1
55,2024-02-16,Subscriptions,Credit Card,"audible Smith, Rojas and Luna",468.26,3.38
56,2024-02-26,Shopping,Cash,clothes Myntra Henry-Hansen,806.57,0.0
57,2024-02-15,Groceries,Credit Card,Aatta 5kg Anderson-Byrd,377.58,4.74
58,2024-02-19,Bills,Credit Card,internet bill Crawford and Sons,990.72,4.02
59,2024-02-05,Bills,Debit Card,electricity bill Simpson Inc,695.37,0.0
60,2024-02-25,Bills,Debit Card,electricity bill Guerrero-Payne,948.51,0.0
61,2024-02-07,Groceries,Debit Card,"Milk 2 lit Duffy, Green and Ellis",666.63,0.0
62,2024-02-14,Shopping,Credit Card,clothes Myntra Wade Ltd,406.34,4.66
63,2024-02-18,Groceries,UPI,Milk 2 lit Williams-Lee,500.14,1.66
64,2024-02-16,Groceries,UPI,"Aatta 5kg Hernandez, Anderson and Hicks",817.21,0.13
65,2024-02-17,entertainment,Cash,Games Diaz and Sons,613.33,0.0
