,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-07-25,Subscriptions,UPI,"SonyLiv Wilson, Wright and Smith",136.32,0.36
1,2024-07-10,Medicine,Debit Card,bandage Rosario Inc,265.22,0.0
2,2024-07-25,Transport,Credit Card,"bus fare to Davis, Butler and Hart",764.82,0.67
3,2024-07-27,Subscriptions,Credit Card,audible Pruitt-Rollins,868.89,2.41
4,2024-07-02,Bills,Credit Card,phone bill Farmer PLC,908.0,2.14
5,2024-07-11,Subscriptions,Credit Card,Hotstar Ramirez Group,191.56,2.27
6,2024-07-07,Shopping,Cash,"gifts local Fritz, King and Murray",365.06,0.0
7,2024-07-15,Groceries,Debit Card,Oil 5 lit Patterson Group,32.62,0.0
8,2024-07-05,Subscriptions,UPI,SonyLiv Morales-Wheeler,391.24,4.56
9,2024-07-18,Subscriptions,Credit Card,"SonyLiv Johnson, Johnson and Gallagher",622.08,4.51
10,2024-07-12,Subscriptions,Credit Card,Prime Mills Ltd,949.19,2.64
11,2024-07-08,Transport,Cash,"fuel at Fleming, Hale and Reilly",607.4,0.0
12,2024-07-04,Transport,Credit Card,ride-sharing to Holt Group,985.21,3.67
13,2024-07-20,Shopping,Credit Card,clothes Myntra Torres PLC,841.27,2.36
14,2024-07-09,Transport,Credit Card,fuel at Ramsey-Edwards,395.33,0.01
15,2024-07-02,Shopping,UPI,electronics flipkart Foster-James,503.48,4.63
16,2024-07-29,Bills,Debit Card,"water bill Cherry, Moore and Mendoza",626.9,0.0
17,2024-07-21,Bills,UPI,gas bill Buchanan LLC,807.78,3.55
18,2024-07-25,Groceries,Debit Card,Oil 5 lit Young Inc,351.76,0.0
19,2024-07-19,Bills,Debit Card,phone bill Rodgers-Cardenas,115.63,0.0
20,2024-07-27,Groceries,UPI,Milk 2 lit Allen LLC,557.09,3.1
21,2024-07-29,Shopping,Cash,Shoes nike Foster PLC,546.03,0.0
22,2024-07-08,Shopping,UPI,Shoes nike Vaughan-Wilson,715.32,4.49
23,2024-07-16,Groceries,Debit Card,"Oil 5 lit Tate, Vazquez and Williams",420.95,0.0
24,2024-07-17,Transport,Credit Card,"fuel at Ellis, Anderson and Garcia",903.93,4.79
25,2024-07-23,Shopping,Credit Card,gifts local Hale and Sons,426.01,4.97
26,2024-07-03,Subscriptions,Credit Card,Netflix Jones-Anthony,352.25,2.54
27,2024-07-11,Medicine,UPI,Digine Shaw-Mcdonald,981.56,3.6
28,2024-07-18,Bills,UPI,internet bill Parker-Mendoza,466.06,1.13
29,2024-07-18,entertainment,UPI,"Club Moses, Cook and Carter",393.86,4.93
30,2024-07-27,Subscriptions,UPI,Netflix Castillo LLC,96.94,2.3
31,2024-07-04,entertainment,Cash,"Games Torres, Williams and Williams",637.93,0.0
32,2024-07-28,Medicine,Debit Card,Digine Figueroa and Sons,601.25,0.0
33,2024-07-29,Bills,Credit Card,gas bill Daniel Group,643.21,1.33
34,2024-07-28,Shopping,Cash,"clothes Myntra Costa, Miller and Sanchez",194.93,0.0
35,2024-07-08,Subscriptions,Cash,"audible Taylor, Hayes and Osborne",865.55,0.0
36,2024-07-04,entertainment,Cash,concert Booth-Dominguez,557.55,0.0
37,2024-07-14,Bills,Cash,phone bill Williams PLC,389.73,0.0
38,2024-07-25,Shopping,UPI,Shoes nike Collins-Jones,166.0,4.65
39,2024-07-06,entertainment,UPI,"Movie Smith, Walker and Garrison",587.31,1.99
40,2024-07-17,Transport,UPI,"train ticket to Crawford, Larson and Walker",319.04,2.81
41,2024-07-21,Subscriptions,UPI,"SonyLiv Fletcher, Morgan and Hickman",83.05,3.91
42,2024-07-02,Subscriptions,Debit Card,Hotstar Moore LLC,204.64,0.0
43,2024-07-06,Bills,Credit Card,"electricity bill Roberts, Huang and Ford",846.8,3.31
44,2024-07-07,Shopping,Debit Card,clothes Myntra Jacobs Inc,545.42,0.0
45,2024-07-15,Groceries,Credit Card,"Oil 5 lit Hughes, Velasquez and Davis",987.17,4.86
46,2024-07-11,entertainment,Cash,Games Davis PLC,301.71,0.0
47,2024-07-28,Subscriptions,UPI,SonyLiv Bauer and Sons,572.51,2.07
48,2024-07-16,entertainment,Cash,concert Torres-Bell,510.42,0.0
49,2024-07-20,Shopping,Cash,gifts local Ross-Martinez,323.89,0.0
50,2024-07-30,Subscriptions,Debit Card,Prime Thompson Group,741.3,0.0
51,2024-07-25,Transport,Debit Card,"train ticket to Wood, Hill and Reid",436.84,0.0
52,2024-07-19,Medicine,UPI,Bitadine Villanueva-Davis,275.49,3.33
53,2024-07-13,Shopping,Credit Card,"electronics flipkart Robertson, Nguyen and Brock",926.64,2.21
54,2024-07-27,Medicine,UPI,Bitadine Roach-Jackson,17.08,4.53
55,2024-07-08,Bills,Credit Card,phone bill Rivera PLC,788.03,0.56
56,2024-07-10,Groceries,Cash,Aatta 5kg Maynard Inc,95.97,0.0
57,2024-07-09,Transport,Credit Card,fuel at Harmon LLC,882.8,1.71
58,2024-07-06,Transport,Cash,bus fare to Smith-Hernandez,924.95,0.0
59,2024-07-26,Medicine,UPI,"bandage Duarte, Johnson and Rivas",109.66,1.31
60,2024-07-06,Subscriptions,UPI,Prime Smith-Gomez,240.24,0.35
61,2024-07-02,Medicine,Debit Card,Digine Lewis-Stewart,488.54,0.0
62,2024-07-21,Subscriptions,Cash,"audible Cervantes, Harrington and Lopez",649.62,0.0
63,2024-07-18,Transport,Cash,"bus fare to Ramirez, Simmons and Andrews",951.51,0.0
64,2024-07-11,Shopping,Cash,gifts local Crosby-Hunt,792.18,0.0
65,2024-07-23,Groceries,UPI,Sugar 2kg Miller-Lewis,510.74,3.83
66,2024-07-02,entertainment,Debit Card,Movie Harris Inc,971.55,0.0
67,2024-07-19,Subscriptions,Debit Card,Netflix Coleman Inc,146.65,0.0
68,2024-07-07,entertainment,UPI,Games Rivera-Foster,978.26,3.88
69,2024-07-18,Transport,Credit Card,"train ticket to Hernandez, Roth and Boyer",629.81,0.39
70,2024-07-22,Groceries,Cash,"Aatta 5kg King, Smith and Hart",46.17,0.0
71,2024-07-12,Shopping,UPI,gifts local Brock Inc,435.04,2.26
72,2024-07-09,Transport,UPI,"train ticket to Obrien, Wong and Johnson",880.33,0.47
73,2024-07-22,Groceries,UPI,Milk 2 lit Salinas-Liu,653.21,1.67
74,2024-07-17,Groceries,UPI,"Milk 2 lit Davis, Rodriguez and Reynolds",411.1,2.76
75,2024-07-09,Bills,Cash,electricity bill Long and Sons,242.29,0.0
76,2024-07-14,entertainment,Credit Card,"Club Mckee, Smith and Juarez",606.18,4.72
77,2024-07-04,Transport,Debit Card,taxi ride to Johnson-Gray,76.88,0.0
78,2024-07-19,Bills,Cash,internet bill Stanley PLC,933.68,0.0
79,2024-07-16,Shopping,Debit Card,clothes Myntra Scott-Sexton,878.65,0.0
80,2024-07-20,Medicine,Credit Card,"Digine Meyer, Green and Sweeney",337.85,1.47
81,2024-07-16,entertainment,Credit Card,Games Preston-Miller,878.99,0.85
82,2024-07-26,Subscriptions,Credit Card,SonyLiv Ramirez Inc,704.14,0.49
83,2024-07-29,Bills,Cash,electricity bill Jennings Ltd,416.44,0.0
84,2024-07-04,Groceries,UPI,Aatta 5kg Soto-Miller,193.43,0.56
85,2024-07-23,Medicine,UPI,"bandage Roberson, Bowen and Mccarthy",653.78,2.8
86,2024-07-05,Groceries,UPI,Milk 2 lit Garcia-Rodriguez,481.58,1.51
87,2024-07-21,Groceries,Credit Card,"Milk 2 lit Lara, Jefferson and Walker",580.88,3.07
88,2024-07-23,Shopping,Cash,electronics flipkart Wilson-Weaver,461.92,0.0
89,2024-07-12,Bills,Debit Card,"gas bill Martinez, Robinson and Mckinney",349.69,0.0
90,2024-07-30,Bills,UPI,electricity bill Casey Inc,148.49,4.76
91,2024-07-30,Bills,Cash,water bill Bullock Group,823.1,0.0
92,2024-07-12,entertainment,Cash,Movie Mercer Ltd,463.32,0.0
93,2024-07-17,Subscriptions,Debit Card,Prime Edwards-Wood,469.92,0.0
94,2024-07-28,Shopping,Cash,gifts local Juarez PLC,324.68,0.0
95,2024-07-17,Groceries,Credit Card,Milk 2 lit Ayers Group,553.59,1.44
96,2024-07-29,entertainment,Cash,Club Church-Lee,447.44,0.0
97,2024-07-16,Subscriptions,Cash,Hotstar Herrera-Hester,436.17,0.0
98,2024-07-21,Groceries,Cash,Aatta 5kg Fletcher LLC,602.21,0.0
99,2024-07-02,Groceries,Credit Card,Aatta 5kg Williams-Doyle,956.38,3.16
100,2024-07-07,Transport,Cash,train ticket to Conley-Taylor,511.71,0.0
101,2024-07-24,Shopping,UPI,"electronics flipkart Barker, Mcclure and Luna",806.36,0.23
102,2024-07-09,Bills,UPI,water bill Roach-Benton,909.74,2.62
103,2024-07-13,Transport,Credit Card,train ticket to Castillo Group,835.88,2.65
104,2024-07-08,Transport,UPI,"taxi ride to Walker, Sanchez and Johnson",166.4,4.56
105,2024-07-26,Shopping,Debit Card,gifts local Allen-Nichols,910.38,0.0
106,2024-07-29,Shopping,UPI,"Shoes nike Williams, Martin and Griffin",994.5,3.01
107,2024-07-08,Transport,UPI,"fuel at Smith, Silva and Sellers",955.35,0.5
108,2024-07-02,Medicine,Debit Card,Digine Austin Ltd,418.86,0.0
109,2024-07-30,entertainment,Credit Card,"Movie Mcdowell, Willis and Anthony",630.71,0.12
110,2024-07-29,Bills,UPI,"phone bill Castillo, Rice and Young",574.79,4.41
111,2024-07-01,Subscriptions,Cash,SonyLiv Carroll-Galvan,578.34,0.0
112,2024-07-21,Subscriptions,Credit Card,Prime Pace-Williams,156.28,3.39
113,2024-07-27,Groceries,Debit Card,Milk 2 lit Fitzpatrick-Hall,249.55,0.0
114,2024-07-02,Shopping,Debit Card,"electronics flipkart Beltran, Simmons and Simmons",286.94,0.0
