,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-06-09,Medicine,UPI,"Bitadine Weaver, Hogan and Harrell",416.54,0.91
1,2024-06-09,Groceries,Cash,"Rice 5 kg Lang, Carroll and Ramos",819.05,0.0
2,2024-06-10,Groceries,Debit Card,Aatta 5kg David and Sons,984.18,0.0
3,2024-06-22,Bills,UPI,internet bill Herring-Anderson,644.42,0.19
4,2024-06-24,Groceries,Cash,Rice 5 kg Harris Inc,255.79,0.0
5,2024-06-21,Shopping,UPI,gifts local Ramirez-Jones,267.17,3.07
6,2024-06-29,Medicine,Cash,Antacid Bailey-Armstrong,195.22,0.0
7,2024-06-12,Transport,Debit Card,bus fare to Vang-Arias,76.93,0.0
8,2024-06-21,Transport,Debit Card,"fuel at Murphy, Burch and Sanchez",684.38,0.0
9,2024-06-13,Bills,Cash,water bill Davis LLC,597.39,0.0
10,2024-06-17,Groceries,Cash,Oil 5 lit Landry Inc,280.19,0.0
11,2024-06-13,Bills,Debit Card,gas bill Guerra LLC,177.61,0.0
12,2024-06-03,Bills,Credit Card,phone bill Wilson LLC,962.65,0.52
13,2024-06-04,Transport,UPI,"bus fare to Rivera, Sampson and Reeves",343.51,0.23
14,2024-06-10,Transport,UPI,"bus fare to Smith, Lutz and Richardson",653.36,4.49
15,2024-06-12,Subscriptions,Cash,"Netflix Campbell, Hansen and Ruiz",341.76,0.0
16,2024-06-25,Bills,Debit Card,gas bill Vargas LLC,39.94,0.0
17,2024-06-18,Transport,UPI,"bus fare to Simmons, Bryant and Lopez",549.93,1.87
18,2024-06-10,entertainment,Credit Card,"Movie Knox, Rodriguez and Warren",924.44,1.47
19,2024-06-13,Medicine,Cash,Paracetamol Dixon PLC,714.41,0.0
20,2024-06-03,entertainment,Credit Card,"Games Wong, Evans and Brown",402.93,1.16
21,2024-06-21,Bills,Credit Card,electricity bill Crawford-Hayden,19.48,4.44
22,2024-06-03,Groceries,Credit Card,"Rice 5 kg Malone, Wilson and Preston",884.94,1.79
23,2024-06-07,Subscriptions,UPI,"Netflix Morse, Hurst and Figueroa",800.22,1.32
24,2024-06-08,Transport,UPI,train ticket to Nelson Ltd,489.85,3.63
25,2024-06-15,Shopping,UPI,clothes Myntra Paul-Castro,171.61,2.99
26,2024-06-01,Transport,Cash,fuel at Gentry Inc,595.83,0.0
27,2024-06-02,entertainment,Debit Card,concert Payne PLC,946.86,0.0
28,2024-06-22,Groceries,Debit Card,Milk 2 lit Charles-Howard,985.09,0.0
29,2024-06-18,Shopping,Credit Card,"clothes Myntra Reed, Martinez and Patterson",410.13,1.34
30,2024-06-06,Medicine,Credit Card,"bandage Oconnor, Sparks and Wood",398.02,0.28
31,2024-06-05,entertainment,Cash,Movie Nguyen-Good,973.99,0.0
32,2024-06-07,Subscriptions,Cash,"audible Washington, Williams and Scott",204.74,0.0
33,2024-06-25,Transport,Debit Card,taxi ride to Downs and Sons,994.85,0.0
34,2024-06-17,entertainment,UPI,"Games Barnett, Thompson and Rogers",665.22,4.26
35,2024-06-29,Subscriptions,UPI,"Netflix Carrillo, Watson and Farmer",720.65,2.01
36,2024-06-09,Groceries,Credit Card,Sugar 2kg Nguyen-Wood,905.92,2.69
37,2024-06-12,Groceries,Debit Card,Milk 2 lit Lawson-Rios,96.55,0.0
38,2024-06-26,Bills,Credit Card,electricity bill Taylor Ltd,739.28,3.14
39,2024-06-14,Subscriptions,UPI,Prime White-Benton,240.24,2.74
40,2024-06-18,entertainment,Cash,concert Ashley LLC,433.79,0.0
41,2024-06-23,Shopping,UPI,electronics flipkart Sheppard Group,589.2,3.85
42,2024-06-21,Transport,Debit Card,"bus fare to Acevedo, Robinson and Gutierrez",162.07,0.0
43,2024-06-19,Subscriptions,Credit Card,"Prime Lee, Roberts and Soto",67.84,4.19
44,2024-06-03,Groceries,UPI,Sugar 2kg Le and Sons,611.24,4.01
45,2024-06-09,Transport,Credit Card,ride-sharing to Richardson-Garcia,51.74,1.88
46,2024-06-03,Subscriptions,Debit Card,Prime Martin-Marsh,465.38,0.0
47,2024-06-19,Bills,UPI,electricity bill Brown Ltd,30.85,0.81
48,2024-06-06,entertainment,Debit Card,Movie Massey LLC,843.05,0.0
49,2024-06-18,entertainment,Debit Card,Club Jackson-James,873.89,0.0
50,2024-06-23,Transport,Cash,bus fare to Paul-Richardson,426.59,0.0
51,2024-06-09,Subscriptions,Credit Card,Prime Guerrero PLC,269.49,0.05
52,2024-06-10,Groceries,Debit Card,"Aatta 5kg Sweeney, Jimenez and Brooks",465.84,0.0
53,2024-06-24,Groceries,Debit Card,Sugar 2kg Clark Ltd,361.7,0.0
54,2024-06-20,Subscriptions,UPI,Netflix Flores PLC,140.16,4.18
55,2024-06-16,Shopping,Cash,clothes Myntra Miller Inc,355.92,0.0
56,2024-06-08,Bills,UPI,"phone bill Reeves, Williams and Williams",738.29,1.86
57,2024-06-08,Medicine,UPI,Antacid Rivera-Weber,82.54,2.78
58,2024-06-02,Transport,Debit Card,taxi ride to Mooney-Graves,145.13,0.0
59,2024-06-22,Bills,Cash,gas bill Allen-Gregory,286.99,0.0
60,2024-06-24,Medicine,Credit Card,Digine Mueller Ltd,819.33,1.28
61,2024-06-06,entertainment,Credit Card,Movie Gonzalez-Lopez,316.81,3.3
62,2024-06-05,Bills,Credit Card,electricity bill Byrd Ltd,59.52,1.79
