,Date,Category,Payment Mode,Description,Amount,Cashback
0,2025-03-10,entertainment,Credit Card,"Club Anderson, Knox and White",345.64,3.93
1,2025-03-01,Groceries,UPI,"Rice 5 kg Gray, Clark and Zimmerman",416.02,2.15
2,2025-03-11,Groceries,Cash,Milk 2 lit Vasquez PLC,374.09,0.0
3,2025-03-07,Medicine,Debit Card,"Antacid Lucas, Stewart and Lopez",366.67,0.0
4,2025-03-08,Medicine,Credit Card,"bandage Haley, Torres and Smith",139.52,1.95
5,2025-03-04,Bills,Credit Card,gas bill Marks-Riley,547.33,0.15
6,2025-03-07,Shopping,UPI,"electronics flipkart Crane, Hanson and White",432.87,0.4
7,2025-03-10,Shopping,Debit Card,electronics flipkart Duncan Inc,901.03,0.0
8,2025-03-07,entertainment,Credit Card,concert Parker Ltd,723.3,1.91
9,2025-03-08,Groceries,UPI,Aatta 5kg Cole Inc,457.15,0.86
10,2025-03-03,Transport,Debit Card,fuel at Callahan-Bennett,46.11,0.0
11,2025-03-07,Groceries,UPI,"Oil 5 lit Young, Gordon and Davis",741.73,3.02
12,2025-03-07,Subscriptions,UPI,Hotstar Brown-Michael,89.7,1.74
13,2025-03-11,Shopping,Cash,electronics flipkart Booth and Sons,68.72,0.0
14,2025-03-09,Groceries,Cash,Oil 5 lit Gross Inc,752.22,0.0
15,2025-03-10,entertainment,Cash,concert Smith PLC,229.52,0.0
16,2025-03-03,Transport,UPI,"train ticket to Byrd, Clark and Williams",823.04,0.38
17,2025-03-06,Shopping,Debit Card,"clothes Myntra Barber, Lara and Williams",171.72,0.0
18,2025-03-10,entertainment,Debit Card," Wang, Freeman and Sullivan",650.6,0.0
19,2025-03-05,Shopping,Cash,"electronics flipkart Smith, Williams and Dominguez",468.32,0.0
20,2025-03-09,Medicine,Debit Card,"bandage Price, Hurst and Vasquez",262.79,0.0
21,2025-03-02,Groceries,Debit Card,Sugar 2kg Carpenter-Munoz,612.28,0.0
22,2025-03-08,Medicine,Debit Card,"Bitadine Brown, Wyatt and Arellano",571.04,0.0
23,2025-03-02,Transport,Credit Card,taxi ride to Dunn-Cook,108.89,1.11
24,2025-03-09,Bills,Debit Card,electricity bill Gomez-Mcdonald,37.63,0.0
25,2025-03-10,Bills,Cash,gas bill Short-Meyers,820.57,0.0
26,2025-03-03,entertainment,UPI,"Movie King, Simmons and Black",480.68,4.74
27,2025-03-01,entertainment,Cash,"Club Davis, Hernandez and Osborne",356.53,0.0
28,2025-03-05,Transport,Debit Card,fuel at Welch-Smith,413.59,0.0
29,2025-03-07,Subscriptions,UPI,Hotstar Richardson LLC,651.65,4.98
30,2025-03-07,Groceries,Credit Card,Milk 2 lit Fuentes Ltd,105.98,0.25
31,2025-03-08,Bills,UPI,internet bill Roberts-Wright,523.73,2.4
32,2025-03-01,Bills,Credit Card,"phone bill Simpson, Kaiser and Little",535.22,4.66
33,2025-03-05,Medicine,Debit Card,bandage Mayo Ltd,561.9,0.0
34,2025-03-11,Medicine,UPI,Paracetamol Taylor-Barber,88.8,4.16
35,2025-03-03,entertainment,Credit Card,"Movie Robertson, Romero and Sanchez",544.3,2.75
36,2025-03-06,Subscriptions,Debit Card,audible Dean Ltd,349.86,0.0
37,2025-03-02,Groceries,Credit Card,Rice 5 kg Brown Group,373.76,3.26
38,2025-03-10,Shopping,UPI,"electronics flipkart Robinson, Shaw and Patterson",681.16,1.34
39,2025-03-09,Transport,Cash,"taxi ride to Young, Soto and Gray",599.17,0.0
40,2025-03-04,Medicine,Credit Card,"Digine Floyd, Mcmillan and Mora",848.83,1.01
41,2025-03-09,Shopping,Debit Card,Shoes nike Wong LLC,500.17,0.0
42,2025-03-11,Bills,Debit Card,"electricity bill Jackson, Fields and Johnston",419.34,0.0
43,2025-03-06,Bills,UPI,internet bill Palmer and Sons,725.36,4.11
44,2025-03-05,Transport,Cash,bus fare to Patrick-Armstrong,787.78,0.0
45,2025-03-11,entertainment,Debit Card,Movie Brown and Sons,239.94,0.0
46,2025-03-03,entertainment,Debit Card,concert Myers-Hurst,933.5,0.0
47,2025-03-03,entertainment,Cash, Shelton LLC,368.22,0.0
48,2025-03-05,Medicine,Credit Card,"Digine Gray, Dunlap and Torres",426.27,0.77
49,2025-03-10,Bills,Cash,water bill Oneill-Gonzales,197.24,0.0
50,2025-03-11,Groceries,Debit Card,Rice 5 kg Hernandez LLC,616.56,0.0
51,2025-03-09,Groceries,UPI,Aatta 5kg Carter Inc,596.62,4.46
52,2025-03-03,Shopping,Cash,"clothes Myntra Yates, Molina and Thomas",48.23,0.0
53,2025-03-11,entertainment,Cash,Club Roberts Ltd,67.91,0.0
