,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-05-09,Subscriptions,UPI,"Netflix Nguyen, Johnson and Watts",565.6,1.94
1,2024-05-23,entertainment,UPI,Games Lyons-Nichols,568.87,4.78
2,2024-05-30,Transport,Debit Card,"train ticket to Terry, Miller and Williams",828.48,0.0
3,2024-05-20,Shopping,UPI,"electronics flipkart Smith, Wolfe and Clark",152.07,3.54
4,2024-05-24,Bills,Debit Card,phone bill Allison-Stewart,93.78,0.0
5,2024-05-24,Groceries,Credit Card,Rice 5 kg Cole LLC,156.82,0.28
6,2024-05-28,entertainment,Debit Card,Movie Harris LLC,501.91,0.0
7,2024-05-28,Transport,Cash,bus fare to Hall Ltd,137.21,0.0
8,2024-05-30,Groceries,Debit Card,Milk 2 lit Vasquez-Vasquez,851.31,0.0
9,2024-05-02,Transport,Credit Card,bus fare to Peterson-Gordon,430.83,2.13
10,2024-05-01,entertainment,Debit Card,"Games Myers, Joseph and Thompson",682.86,0.0
11,2024-05-14,Groceries,Credit Card,"Sugar 2kg Braun, Young and Wilson",821.68,4.89
12,2024-05-03,Shopping,Credit Card,"Shoes nike Hamilton, Jimenez and Stafford",904.03,2.59
13,2024-05-25,Medicine,Debit Card,Paracetamol Fields LLC,960.42,0.0
14,2024-05-11,Subscriptions,Credit Card,SonyLiv Lindsey PLC,130.02,0.33
15,2024-05-23,Medicine,Cash,Bitadine Powell-Adams,184.67,0.0
16,2024-05-04,Groceries,Credit Card,Rice 5 kg Ward Ltd,624.98,4.79
17,2024-05-28,Groceries,UPI,"Rice 5 kg Espinoza, Mclean and Middleton",162.02,4.53
18,2024-05-15,Bills,Credit Card,"gas bill Dillon, Nelson and Hernandez",735.24,2.06
19,2024-05-19,Transport,UPI,ride-sharing to Anderson PLC,155.86,1.39
20,2024-05-17,Subscriptions,Debit Card,SonyLiv Cortez LLC,532.38,0.0
21,2024-05-23,entertainment,Debit Card,Club Rivera-Krueger,990.68,0.0
22,2024-05-21,Medicine,UPI,Bitadine Yang LLC,989.11,4.97
23,2024-05-28,Shopping,UPI,"electronics flipkart Turner, Ritter and Morrison",43.14,4.12
24,2024-05-21,Medicine,Debit Card,Paracetamol Thomas-Smith,484.67,0.0
25,2024-05-04,Groceries,Debit Card,Rice 5 kg Carlson-Hudson,549.32,0.0
26,2024-05-13,Subscriptions,Cash,"Netflix Pierce, Wilson and Mays",587.37,0.0
27,2024-05-09,Transport,UPI,train ticket to Johnston-Edwards,888.04,2.37
28,2024-05-21,Transport,Debit Card,bus fare to Rose and Sons,239.81,0.0
29,2024-05-19,Subscriptions,Credit Card,audible Mendoza Inc,783.35,3.99
30,2024-05-02,Transport,Cash,fuel at Crosby-Jackson,559.82,0.0
31,2024-05-04,Medicine,Debit Card,Paracetamol Weber LLC,822.05,0.0
32,2024-05-15,Groceries,UPI,Sugar 2kg Jordan LLC,102.75,4.17
33,2024-05-01,Groceries,Debit Card,"Sugar 2kg Butler, Tucker and Baldwin",20.81,0.0
34,2024-05-26,Transport,Cash,ride-sharing to Johnson-Garcia,286.75,0.0
35,2024-05-26,Medicine,Cash,Digine Dixon Inc,938.03,0.0
36,2024-05-06,Medicine,Debit Card,Antacid Lee-Romero,494.79,0.0
37,2024-05-20,Bills,UPI,gas bill Greene LLC,257.32,3.97
38,2024-05-28,Groceries,Credit Card,"Aatta 5kg Lloyd, Gross and Jimenez",926.89,0.94
39,2024-05-28,Medicine,Credit Card,Digine Watson-Fischer,540.88,4.51
40,2024-05-20,Bills,Debit Card,internet bill Ross and Sons,816.5,0.0
41,2024-05-16,entertainment,Cash,Movie Archer-Williams,756.75,0.0
42,2024-05-14,Shopping,Debit Card,"electronics flipkart Chung, Russo and Wiggins",517.19,0.0
43,2024-05-13,Groceries,UPI,"Oil 5 lit Bishop, Ellis and Nelson",508.36,1.82
44,2024-05-22,Bills,Credit Card,internet bill Suarez-Gonzalez,189.38,1.68
45,2024-05-05,Bills,Cash,internet bill Olsen-Gardner,226.88,0.0
46,2024-05-28,entertainment,Cash,"concert Rose, Ayala and Maddox",66.96,0.0
47,2024-05-06,Subscriptions,Debit Card,Netflix Cooper-Wells,624.89,0.0
48,2024-05-01,Shopping,Cash,gifts local Harrison PLC,586.43,0.0
49,2024-05-05,Transport,Debit Card,"taxi ride to Finley, Allen and Lopez",446.48,0.0
50,2024-05-22,Medicine,Debit Card,"Paracetamol Rose, Dorsey and Burton",958.25,0.0
51,2024-05-14,Transport,Credit Card,ride-sharing to Schmidt-Martinez,563.47,0.21
52,2024-05-22,Shopping,Credit Card,electronics flipkart Schmidt-Vasquez,642.67,0.59
53,2024-05-24,Medicine,Cash,"Paracetamol Williams, Shepard and Sanders",976.38,0.0
54,2024-05-30,Subscriptions,Credit Card,Prime French PLC,169.43,3.92
55,2024-05-30,entertainment,Cash,Club Moore-Mitchell,174.28,0.0
56,2024-05-06,Subscriptions,Cash,"SonyLiv Whitney, Salinas and Russell",507.23,0.0
57,2024-05-26,Transport,UPI,"bus fare to Warren, Peterson and Byrd",511.47,1.74
58,2024-05-20,Shopping,UPI,electronics flipkart Hernandez-Hopkins,96.58,4.68
59,2024-05-03,Transport,Debit Card,"ride-sharing to Branch, Schaefer and Johnson",807.06,0.0
60,2024-05-22,Medicine,Debit Card,"Digine Wells, Moody and Morgan",888.41,0.0
61,2024-05-03,Subscriptions,UPI,"SonyLiv Williams, Gordon and Greene",482.27,4.55
62,2024-05-20,Medicine,UPI,"Digine Castillo, Sanchez and Sanchez",180.71,1.26
63,2024-05-11,entertainment,UPI,"concert Noble, Palmer and Diaz",778.77,2.63
64,2024-05-23,Bills,Debit Card,"gas bill Henry, Flores and Guerra",188.95,0.0
65,2024-05-11,Medicine,Credit Card,Bitadine Campos-Reilly,845.57,0.87
66,2024-05-24,Transport,Credit Card,"train ticket to Johnson, Larsen and Baker",181.12,2.03
67,2024-05-14,Subscriptions,Credit Card,"Hotstar Wu, Johnson and Ibarra",218.94,0.19
68,2024-05-02,Bills,Debit Card,internet bill Edwards-Hughes,986.84,0.0
69,2024-05-02,Shopping,Cash,electronics flipkart Palmer-Smith,267.91,0.0
70,2024-05-26,Groceries,Debit Card,Aatta 5kg Oconnell-Smith,539.76,0.0
71,2024-05-26,Bills,Credit Card,water bill Smith-Wolfe,118.99,3.74
72,2024-05-29,Bills,UPI,"internet bill Bryant, Wilson and David",571.4,4.97
73,2024-05-25,Bills,Debit Card,internet bill Kim Inc,838.79,0.0
74,2024-05-09,Groceries,Cash,Sugar 2kg Campbell-Mosley,758.94,0.0
75,2024-05-29,Groceries,Cash,"Sugar 2kg Shields, Garcia and Gomez",977.35,0.0
76,2024-05-14,Groceries,Debit Card,Oil 5 lit Hudson-Vasquez,371.14,0.0
77,2024-05-29,entertainment,Credit Card,Club Johnson-Hill,345.09,0.56
78,2024-05-16,Subscriptions,Cash,Netflix Stanley Ltd,505.75,0.0
79,2024-05-08,Groceries,Debit Card,"Rice 5 kg Mccullough, Parker and Robinson",776.85,0.0
80,2024-05-21,Medicine,Credit Card,"Paracetamol Wolf, Ross and Holden",65.11,3.66
81,2024-05-24,Bills,Debit Card,"water bill Meadows, Hayes and Johnson",490.39,0.0
82,2024-05-24,entertainment,Debit Card,Movie Parsons-King,301.46,0.0
83,2024-05-27,Medicine,UPI,Digine Douglas Ltd,43.26,1.43
84,2024-05-28,Bills,Cash,internet bill Kline and Sons,305.67,0.0
85,2024-05-04,Shopping,Credit Card,"clothes Myntra Sosa, Duncan and Bennett",675.95,0.83
86,2024-05-12,entertainment,Debit Card,Club Higgins-Mcintyre,267.62,0.0
87,2024-05-16,Medicine,Credit Card,Paracetamol Barrett and Sons,398.17,1.06
88,2024-05-15,Bills,Credit Card,"phone bill Barron, Miller and Moss",17.53,2.52
89,2024-05-25,Subscriptions,Debit Card,Prime Deleon-Peck,112.54,0.0
90,2024-05-14,Groceries,Credit Card,Rice 5 kg Diaz Group,435.33,2.79
91,2024-05-21,entertainment,Cash,Games Cole-Howard,746.81,0.0
92,2024-05-30,Shopping,Debit Card,clothes Myntra Reynolds-Casey,90.47,0.0
93,2024-05-06,Subscriptions,Cash,"Hotstar Roberts, Martinez and Vang",87.3,0.0
94,2024-05-05,Groceries,Debit Card,Milk 2 lit Smith-Sanders,469.48,0.0
95,2024-05-25,Bills,Debit Card,internet bill Mckay-Owen,418.59,0.0
96,2024-05-26,Bills,UPI,electricity bill Nielsen Group,18.49,2.14
97,2024-05-30,entertainment,Cash,"Club Velazquez, Lambert and Hall",215.1,0.0
98,2024-05-05,Groceries,UPI,Rice 5 kg Frost-Ferguson,421.14,1.38
99,2024-05-07,Medicine,Cash,Digine Pearson LLC,823.94,0.0
100,2024-05-15,Bills,Cash,electricity bill Smith-Ramsey,470.36,0.0
101,2024-05-04,Medicine,Cash,Bitadine Huffman-Gonzales,701.75,0.0
102,2024-05-20,Bills,Cash,internet bill Salas LLC,528.23,0.0
103,2024-05-22,entertainment,Debit Card,Club Owens-Smith,697.63,0.0
104,2024-05-21,Transport,UPI,"bus fare to Hartman, Sanders and Stein",983.8,3.36
105,2024-05-22,Transport,Cash,bus fare to Woods-Horn,357.8,0.0
106,2024-05-25,entertainment,UPI,"Movie Bell, Flores and Dunn",97.0,1.4
107,2024-05-24,Shopping,Cash,Shoes nike Baird-Howard,135.04,0.0
108,2024-05-17,Subscriptions,Credit Card,"Prime Brown, Anderson and Macias",612.22,4.22
109,2024-05-10,Bills,Cash,internet bill Matthews Inc,532.4,0.0
110,2024-05-02,Subscriptions,Cash,"SonyLiv Lloyd, Scott and Stewart",411.86,0.0
111,2024-05-26,Medicine,Cash,Digine Flores PLC,186.07,0.0
112,2024-05-28,Shopping,Credit Card,gifts local Smith LLC,348.99,0.03
113,2024-05-28,entertainment,UPI,Club Simmons-Estrada,78.12,1.77
114,2024-05-14,Shopping,UPI,electronics flipkart Miller-Quinn,697.77,4.89
115,2024-05-21,Transport,Debit Card,fuel at Bennett-Barron,415.45,0.0
116,2024-05-26,Medicine,Credit Card,bandage Mosley-Villa,108.53,3.65
117,2024-05-05,Bills,Credit Card,phone bill Anderson-Gilbert,45.09,0.62
