,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-11-27,entertainment,UPI,Movie Cabrera-Robertson,166.4,0.41
1,2024-11-22,entertainment,Debit Card,concert Stevens-Anderson,358.08,0.0
2,2024-11-13,entertainment,Credit Card,Club Golden-Rodriguez,540.5,1.1
3,2024-11-04,Bills,Credit Card,"water bill Johnston, Hammond and Duncan",952.76,2.33
4,2024-11-22,Shopping,UPI,"gifts local Ortega, Avila and Powers",712.96,1.45
5,2024-11-22,entertainment,UPI,"concert Johnson, Oneill and Wilson",27.69,4.35
6,2024-11-23,Groceries,UPI,"Aatta 5kg Castaneda, Rivera and Vasquez",534.92,3.0
7,2024-11-23,entertainment,Debit Card,"Games Charles, Coleman and Gomez",237.63,0.0
8,2024-11-10,Bills,UPI,electricity bill Wood-Smith,524.8,2.84
9,2024-11-29,Medicine,Debit Card,Digine Yang PLC,254.21,0.0
10,2024-11-17,Bills,Debit Card,electricity bill Jackson-Williams,958.47,0.0
11,2024-11-02,Subscriptions,Credit Card,audible Sampson-Perez,195.66,1.45
12,2024-11-22,Subscriptions,Credit Card,Hotstar Berry-Bell,525.95,4.87
13,2024-11-22,Bills,Credit Card,phone bill Stewart Inc,433.82,2.59
14,2024-11-20,Medicine,Credit Card,Bitadine Wright-Jones,507.64,4.07
15,2024-11-19,Shopping,Credit Card,Shoes nike Bennett Group,508.9,4.16
16,2024-11-21,Medicine,Credit Card,"bandage Ray, Soto and Parrish",566.83,2.47
17,2024-11-19,Shopping,Cash,Shoes nike Winters-Bennett,535.59,0.0
18,2024-11-29,Medicine,UPI,Bitadine Gordon-Romero,355.29,1.95
19,2024-11-15,Shopping,Credit Card,"Shoes nike Larson, Nguyen and Smith",842.51,4.16
20,2024-11-18,entertainment,Credit Card,Club Coleman-Knox,254.1,2.86
21,2024-11-07,Transport,Credit Card,"fuel at Sanchez, Williams and Rogers",650.93,4.85
22,2024-11-10,Medicine,UPI,"bandage Meyer, Vargas and Rich",209.82,4.0
23,2024-11-11,Medicine,Debit Card,"Paracetamol Moore, Martinez and Peters",905.93,0.0
24,2024-11-17,Groceries,Debit Card,Aatta 5kg Love PLC,885.62,0.0
25,2024-11-16,Medicine,Credit Card,Paracetamol Hamilton-Martin,81.53,4.74
26,2024-11-24,Subscriptions,Debit Card,"Prime Schwartz, Underwood and Dyer",278.99,0.0
27,2024-11-05,Shopping,Cash,clothes Myntra Walls-Lee,573.8,0.0
28,2024-11-06,Bills,UPI,electricity bill Rivera LLC,832.57,3.26
29,2024-11-26,Subscriptions,UPI,"SonyLiv Castillo, Kim and Harrison",26.0,4.22
30,2024-11-25,Subscriptions,Credit Card,Netflix Walker-Guzman,692.54,3.61
31,2024-11-18,Medicine,UPI,Antacid Yates-Marshall,999.04,2.87
32,2024-11-06,entertainment,UPI,"Club Walters, Craig and Bautista",219.49,2.54
33,2024-11-24,entertainment,Debit Card,"Games Park, Escobar and Carlson",687.26,0.0
34,2024-11-22,entertainment,UPI,Games Calhoun and Sons,230.51,2.91
35,2024-11-21,Shopping,UPI,"Shoes nike Jenkins, Jordan and Miller",377.79,2.04
36,2024-11-24,Shopping,UPI,gifts local Higgins Ltd,675.06,3.79
37,2024-11-03,Groceries,Credit Card,Oil 5 lit Holmes Ltd,394.59,0.55
38,2024-11-27,entertainment,Credit Card,Games Parrish Group,639.7,4.63
39,2024-11-26,entertainment,Credit Card,concert Perkins LLC,123.39,3.62
40,2024-11-22,Subscriptions,Debit Card,audible Davenport-Ruiz,969.69,0.0
41,2024-11-28,Bills,Credit Card,"internet bill Frost, Powers and Molina",390.46,3.47
42,2024-11-24,Shopping,Credit Card,Shoes nike Mitchell PLC,114.11,4.38
43,2024-11-10,Groceries,Cash,"Oil 5 lit Allen, Conner and Wyatt",584.69,0.0
44,2024-11-24,Shopping,Cash,electronics flipkart Berry-Jackson,440.04,0.0
45,2024-11-13,entertainment,UPI,Club Garrett Group,560.71,0.22
46,2024-11-03,Medicine,Cash,Digine Swanson-Odom,100.23,0.0
47,2024-11-22,Subscriptions,Cash,"Hotstar Stanley, Olson and Underwood",512.9,0.0
48,2024-11-12,Medicine,UPI,"bandage Smith, Garcia and Hunter",907.24,0.96
49,2024-11-23,Shopping,Debit Card,Shoes nike White-Stephenson,518.89,0.0
50,2024-11-14,entertainment,UPI,"Games Phillips, Bullock and Horton",919.29,4.0
51,2024-11-10,Shopping,UPI,clothes Myntra Compton Ltd,593.84,0.58
52,2024-11-07,Medicine,Credit Card,Paracetamol Guerra LLC,585.61,4.94
53,2024-11-23,Bills,UPI,water bill Owens-Stewart,509.66,4.93
54,2024-11-20,Subscriptions,Credit Card,"SonyLiv Jackson, Taylor and Newman",550.49,2.66
55,2024-11-28,Medicine,Debit Card,Antacid Nguyen Group,953.3,0.0
56,2024-11-29,Bills,Credit Card,"water bill Buckley, Nelson and Sanders",935.95,0.17
57,2024-11-16,Groceries,Cash,Rice 5 kg Sanchez Ltd,659.96,0.0
58,2024-11-20,Shopping,Credit Card,Shoes nike Gilbert Group,170.94,3.01
59,2024-11-14,Medicine,UPI,Antacid Ross Ltd,552.22,1.75
60,2024-11-03,Shopping,UPI,gifts local Todd PLC,443.2,0.8
61,2024-11-19,Shopping,Credit Card,gifts local Curtis-Davis,664.46,0.53
62,2024-11-23,Medicine,Debit Card,Antacid Andrews-Morales,221.02,0.0
63,2024-11-16,Groceries,Cash,Oil 5 lit Baldwin-Brandt,46.22,0.0
64,2024-11-21,Medicine,Credit Card,"bandage Graves, Myers and White",816.19,0.46
65,2024-11-03,Groceries,Debit Card,Milk 2 lit Becker PLC,775.74,0.0
66,2024-11-14,Transport,UPI,"fuel at Willis, Shaw and Martin",839.93,3.26
67,2024-11-25,Groceries,Debit Card,Oil 5 lit Stevenson and Sons,50.38,0.0
68,2024-11-05,Groceries,Credit Card,"Milk 2 lit Stout, Pratt and Ruiz",210.93,1.44
69,2024-11-27,Transport,Credit Card,taxi ride to Henderson-Charles,593.77,2.6
70,2024-11-20,Transport,UPI,bus fare to Thompson Inc,433.82,4.61
71,2024-11-13,entertainment,Credit Card,Movie Washington and Sons,184.88,1.43
72,2024-11-03,Subscriptions,Credit Card,"Prime Ray, Smith and Stein",59.66,1.7
73,2024-11-01,Transport,UPI,"taxi ride to Wise, Jackson and Park",313.65,3.19
74,2024-11-23,Subscriptions,Credit Card,Hotstar Brown-Randall,259.32,3.83
75,2024-11-28,Subscriptions,Cash,audible Diaz-Thomas,272.14,0.0
76,2024-11-24,entertainment,Credit Card,Movie Rice-Garcia,278.73,2.59
77,2024-11-18,entertainment,Debit Card,"concert Stevenson, Hoffman and Dickson",577.04,0.0
78,2024-11-16,Shopping,Credit Card,clothes Myntra Guzman-Reyes,699.11,2.83
79,2024-11-24,Bills,Debit Card,electricity bill Perkins-Mitchell,677.39,0.0
80,2024-11-01,Transport,Credit Card,taxi ride to Haynes PLC,55.95,0.61
81,2024-11-14,Transport,Credit Card,ride-sharing to Garza Group,139.85,4.18
82,2024-11-13,Groceries,UPI,Rice 5 kg Tucker-Williams,425.11,0.96
83,2024-11-03,Groceries,Credit Card,"Oil 5 lit Evans, Palmer and Yu",41.73,4.3
84,2024-11-26,Shopping,UPI,electronics flipkart Rodriguez-Fowler,437.76,0.68
85,2024-11-10,Transport,Credit Card,"ride-sharing to Evans, Kelly and Williams",994.89,0.46
86,2024-11-20,Subscriptions,Debit Card,"SonyLiv Oliver, Olson and Cole",442.32,0.0
87,2024-11-04,Subscriptions,Credit Card,SonyLiv Thomas-Carr,718.98,1.54
88,2024-11-08,Medicine,Cash,"Bitadine Rice, Ellis and Miller",411.63,0.0
89,2024-11-21,Transport,UPI,"taxi ride to Smith, Graham and Ford",158.54,0.68
90,2024-11-23,Transport,Cash,train ticket to Graham and Sons,381.23,0.0
91,2024-11-06,Medicine,Cash,Paracetamol Cook-Smith,591.88,0.0
92,2024-11-14,Bills,UPI,phone bill Martin LLC,214.79,0.04
93,2024-11-07,Transport,Credit Card,taxi ride to Lewis and Sons,746.76,0.44
94,2024-11-06,Subscriptions,Credit Card,"SonyLiv Smith, Bennett and Lopez",602.15,4.66
95,2024-11-20,Subscriptions,Credit Card,Hotstar Brewer-Henry,807.88,1.7
96,2024-11-14,entertainment,Credit Card,concert Pittman Group,54.6,0.61
97,2024-11-27,Subscriptions,UPI,"SonyLiv Jones, Ross and Cole",868.45,4.55
98,2024-11-19,Groceries,UPI,Oil 5 lit Houston-Evans,171.49,0.56
99,2024-11-06,Medicine,Credit Card,Bitadine Mosley-Brown,75.94,3.56
100,2024-11-04,entertainment,Credit Card,Club Crawford LLC,226.87,0.7
101,2024-11-19,Subscriptions,UPI,"SonyLiv Hughes, Williams and Andrade",461.82,2.92
102,2024-11-08,Subscriptions,Cash,"Prime Collins, Jones and Johnston",750.55,0.0
103,2024-11-18,Transport,Credit Card,fuel at Rhodes PLC,706.45,4.77
104,2024-11-14,Groceries,Debit Card,Milk 2 lit Campbell Inc,466.69,0.0
105,2024-11-02,Medicine,Credit Card,Bitadine Yu LLC,678.25,3.77
106,2024-11-07,Shopping,Credit Card,gifts local Cardenas-Matthews,806.1,4.86
107,2024-11-01,Groceries,Credit Card,"Rice 5 kg Williams, Clark and Scott",109.96,3.11
108,2024-11-20,Subscriptions,Cash,Prime Rodriguez Group,280.53,0.0
109,2024-11-18,Medicine,UPI,Antacid Hopkins Inc,599.62,4.56
110,2024-11-02,Shopping,Cash,electronics flipkart Sanchez PLC,145.15,0.0
111,2024-11-08,Shopping,Cash,"gifts local Harris, Phillips and Bowen",827.27,0.0
112,2024-11-23,Transport,Cash,taxi ride to Harper Inc,260.03,0.0
113,2024-11-15,Medicine,Cash,"Bitadine Smith, Holder and Torres",399.36,0.0
114,2024-11-01,Shopping,Cash,"clothes Myntra Kelly, Mosley and Johnson",282.3,0.0
115,2024-11-14,Bills,Cash,"gas bill Ortega, Wright and Singh",504.46,0.0
116,2024-11-13,Shopping,Credit Card,electronics flipkart Jones LLC,816.67,4.99
117,2024-11-03,Bills,Debit Card,gas bill Swanson LLC,264.85,0.0
118,2024-11-20,Subscriptions,Cash,"Hotstar Long, Anderson and Carson",868.87,0.0
119,2024-11-18,Bills,UPI,"internet bill French, Gallegos and Hardy",442.42,1.46
