,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-10-17,Bills,UPI,"electricity bill Holden, Bruce and Preston",802.84,0.01
1,2024-10-04,Medicine,Cash,"Digine Jackson, Jones and Perez",124.78,0.0
2,2024-10-18,Bills,UPI,phone bill Hooper-Figueroa,826.44,2.84
3,2024-10-04,Shopping,Credit Card,electronics flipkart Chandler-Hudson,20.83,0.46
4,2024-10-19,Subscriptions,UPI,SonyLiv Kim and Sons,410.43,1.56
5,2024-10-15,Subscriptions,Cash,"audible Huynh, Booth and Perkins",789.49,0.0
6,2024-10-18,Subscriptions,Credit Card,"Netflix Carter, Ellis and Carlson",416.62,0.12
7,2024-10-06,Medicine,Credit Card,Antacid Greene LLC,138.66,0.85
8,2024-10-14,Transport,UPI,train ticket to Wise-Ferguson,279.27,1.71
9,2024-10-02,Groceries,UPI,Oil 5 lit Clarke Inc,395.12,0.82
10,2024-10-13,Subscriptions,UPI,Hotstar Morrison-Maldonado,176.06,3.85
11,2024-10-12,entertainment,Cash,"Movie Hayes, Oconnor and Herrera",97.49,0.0
12,2024-10-24,Transport,Credit Card,ride-sharing to Moore Inc,424.8,1.07
13,2024-10-22,entertainment,Cash,Movie Sanchez-Fields,415.01,0.0
14,2024-10-03,Subscriptions,UPI,SonyLiv Chen-Rodriguez,668.45,2.13
15,2024-10-16,Bills,UPI,"internet bill Ware, Lopez and Chavez",933.33,1.18
16,2024-10-04,entertainment,UPI,Club Carson-Thomas,295.09,4.43
17,2024-10-23,Medicine,Cash,Paracetamol Evans PLC,596.02,0.0
18,2024-10-29,Bills,Cash,"gas bill Scott, Woods and Clark",809.56,0.0
19,2024-10-11,Bills,Debit Card,internet bill Wilson Inc,988.81,0.0
20,2024-10-08,Shopping,Credit Card,"gifts local Nguyen, Bradshaw and Schmidt",330.57,2.84
21,2024-10-23,Medicine,Debit Card,"Bitadine Mitchell, Williams and Hall",477.24,0.0
22,2024-10-05,Bills,Cash,phone bill Pham-Cardenas,875.99,0.0
23,2024-10-26,entertainment,Debit Card,concert Lyons-King,837.75,0.0
24,2024-10-22,Medicine,Debit Card,Digine Jefferson LLC,64.48,0.0
25,2024-10-26,Transport,Debit Card,"fuel at Harper, Parker and Livingston",598.05,0.0
26,2024-10-14,Groceries,UPI,Sugar 2kg Webb-Mullins,820.48,4.95
27,2024-10-14,Subscriptions,Cash,Netflix Bell-Sweeney,774.61,0.0
28,2024-10-04,Shopping,Debit Card,gifts local Daniels Inc,46.03,0.0
29,2024-10-03,entertainment,Cash,Club Cook-Morgan,300.46,0.0
30,2024-10-15,Bills,Credit Card,internet bill Lee Group,566.3,3.89
31,2024-10-09,Medicine,UPI,bandage Riley-Cameron,247.11,3.0
32,2024-10-15,Transport,UPI,train ticket to Webb-Dawson,240.99,1.45
33,2024-10-15,Shopping,Debit Card,"gifts local Butler, Cooper and Powell",697.14,0.0
34,2024-10-17,Groceries,Debit Card,"Sugar 2kg Johnson, Holloway and Bates",867.05,0.0
35,2024-10-23,Bills,Cash,"phone bill Vasquez, King and Carey",239.93,0.0
36,2024-10-22,Groceries,Cash,Milk 2 lit Thomas-Bennett,192.56,0.0
37,2024-10-27,Subscriptions,Debit Card,Netflix Baker Inc,661.53,0.0
38,2024-10-17,Groceries,Debit Card,Aatta 5kg Jenkins-Jones,928.07,0.0
39,2024-10-05,entertainment,Debit Card,"Club Gates, Jackson and Fowler",546.56,0.0
40,2024-10-07,Shopping,UPI,gifts local Ball-Petty,647.81,1.43
41,2024-10-01,Groceries,Cash,Sugar 2kg Young Group,335.01,0.0
42,2024-10-05,Groceries,Cash,Aatta 5kg Jones PLC,369.09,0.0
43,2024-10-08,entertainment,Cash,Club Landry Inc,107.59,0.0
44,2024-10-10,Shopping,Cash,"gifts local Chase, Anderson and Jennings",635.49,0.0
45,2024-10-19,Medicine,Debit Card,"Digine Richardson, Mathews and Watkins",264.33,0.0
46,2024-10-22,entertainment,Debit Card,concert Villegas-Berg,905.5,0.0
47,2024-10-17,Groceries,Cash,Milk 2 lit Bass-Fuller,586.96,0.0
48,2024-10-21,Transport,Cash,"taxi ride to Hicks, Rivera and Turner",877.5,0.0
49,2024-10-07,Shopping,Debit Card,"electronics flipkart Davies, Ware and Campbell",419.46,0.0
50,2024-10-05,Bills,Debit Card,"electricity bill Hansen, Gonzalez and Franklin",330.94,0.0
51,2024-10-08,Groceries,UPI,Aatta 5kg Daniel Group,818.62,0.12
52,2024-10-01,Groceries,Debit Card,"Rice 5 kg Adams, Gonzalez and Marsh",365.51,0.0
53,2024-10-24,Groceries,UPI,"Sugar 2kg Robinson, Smith and Rosario",108.64,1.61
54,2024-10-18,Medicine,Debit Card,bandage Nichols Ltd,874.35,0.0
55,2024-10-21,Medicine,Cash,"Paracetamol Reyes, Kim and Mcneil",401.79,0.0
56,2024-10-12,Shopping,Credit Card,"gifts local Douglas, Hayes and Johnson",127.45,0.27
57,2024-10-07,Bills,UPI,internet bill Knight PLC,404.41,1.03
58,2024-10-25,entertainment,Debit Card,"Club Young, Randolph and Atkinson",735.45,0.0
59,2024-10-08,entertainment,Debit Card,"Club Watkins, Lynch and Owen",766.65,0.0
60,2024-10-16,Bills,Cash,"electricity bill Fernandez, Fisher and Melton",584.35,0.0
