,Date,Category,Payment Mode,Description,Amount,Cashback
0,2024-09-21,Shopping,Cash,gifts local Potter-Ruiz,721.49,0.0
1,2024-09-16,Shopping,UPI,gifts local Baker Inc,563.66,2.57
2,2024-09-09,Subscriptions,Cash,Hotstar Franklin-Brown,669.01,0.0
3,2024-09-14,Shopping,Credit Card,"electronics flipkart Young, Johnson and Steele",600.73,3.53
4,2024-09-24,Medicine,Debit Card,"bandage Thompson, Ramos and Campbell",610.34,0.0
5,2024-09-28,entertainment,Credit Card,"Club Stone, Richards and Taylor",369.93,0.32
6,2024-09-03,Subscriptions,Credit Card,Prime Peterson-Greene,999.31,0.98
7,2024-09-15,Shopping,Debit Card,clothes Myntra Lang-Simmons,39.1,0.0
8,2024-09-19,Shopping,Credit Card,electronics flipkart Jones Group,446.86,0.48
9,2024-09-12,Transport,Credit Card,bus fare to Perry Ltd,78.59,0.64
10,2024-09-15,Groceries,UPI,Aatta 5kg Juarez-Banks,285.61,0.91
11,2024-09-21,Bills,Debit Card,internet bill Rose PLC,707.47,0.0
12,2024-09-13,Transport,UPI,taxi ride to Jones Inc,149.16,0.85
13,2024-09-29,Medicine,Cash,Digine Armstrong-Wheeler,528.27,0.0
14,2024-09-25,entertainment,Debit Card,concert Anderson Inc,329.96,0.0
15,2024-09-17,Medicine,Debit Card,Paracetamol Snyder-Johnson,332.85,0.0
16,2024-09-29,Medicine,Cash,bandage Medina-Ryan,827.92,0.0
17,2024-09-26,entertainment,Cash,"Movie Lee, Mckenzie and Bell",139.33,0.0
18,2024-09-22,Groceries,Debit Card,Rice 5 kg Watts-Cook,26.72,0.0
19,2024-09-04,Shopping,Credit Card,clothes Myntra Young Inc,157.53,0.64
20,2024-09-14,Medicine,UPI,Digine Diaz-Parks,128.98,3.85
21,2024-09-27,Subscriptions,Debit Card,Netflix Nguyen LLC,246.67,0.0
22,2024-09-12,Shopping,Debit Card,clothes Myntra Leon-Lewis,572.76,0.0
23,2024-09-18,Bills,Debit Card,"phone bill Lang, Adams and Rodriguez",611.96,0.0
24,2024-09-05,Groceries,Debit Card,Sugar 2kg Moyer-Rogers,124.66,0.0
25,2024-09-28,Groceries,Debit Card,Milk 2 lit Lane Inc,790.14,0.0
26,2024-09-13,Subscriptions,UPI,"SonyLiv Phillips, Roberts and Serrano",850.15,1.67
27,2024-09-28,Shopping,UPI,Shoes nike Patel PLC,569.98,1.81
28,2024-09-15,Subscriptions,UPI,SonyLiv Zamora Group,327.4,0.59
29,2024-09-27,Groceries,Debit Card,Rice 5 kg Jenkins-Lawson,466.46,0.0
30,2024-09-03,Groceries,Debit Card,Milk 2 lit Olsen Group,685.97,0.0
31,2024-09-07,Groceries,Debit Card,"Rice 5 kg Mathews, Young and Acosta",183.24,0.0
32,2024-09-16,Medicine,Debit Card,Paracetamol English Group,314.03,0.0
33,2024-09-10,Transport,Debit Card,bus fare to Scott and Sons,603.82,0.0
34,2024-09-22,Medicine,Credit Card,Antacid Fleming Group,931.49,3.89
35,2024-09-05,Transport,Debit Card,ride-sharing to Roberts-Leach,260.63,0.0
36,2024-09-10,Groceries,UPI,"Sugar 2kg Hines, Cortez and Thomas",136.58,2.39
37,2024-09-14,entertainment,Credit Card,concert Bell PLC,383.03,4.15
38,2024-09-17,Medicine,UPI,Digine Edwards-Kelley,911.45,2.92
39,2024-09-08,Shopping,Debit Card,Shoes nike Henderson-Solomon,315.48,0.0
40,2024-09-03,entertainment,Cash,"Club Neal, Jones and Harris",408.58,0.0
41,2024-09-02,Medicine,UPI,Digine Sutton Inc,942.68,1.74
42,2024-09-17,entertainment,UPI,"Games Ward, Lawrence and Neal",450.66,2.82
43,2024-09-14,Transport,Credit Card,taxi ride to Conley and Sons,384.7,2.84
44,2024-09-06,Shopping,Cash,"clothes Myntra Figueroa, Hanson and Benson",478.99,0.0
45,2024-09-05,Subscriptions,UPI,Hotstar Berry-Clark,948.18,0.26
46,2024-09-07,Groceries,Debit Card,"Milk 2 lit Ross, Miller and Rocha",981.09,0.0
47,2024-09-03,Transport,Credit Card,"ride-sharing to Valdez, Warner and Scott",92.15,2.94
48,2024-09-14,Shopping,Cash,Shoes nike Hunter PLC,781.93,0.0
49,2024-09-13,Shopping,Cash,clothes Myntra Jenkins-Hernandez,839.32,0.0
50,2024-09-20,Transport,Debit Card,taxi ride to Sanchez-Carter,937.29,0.0
51,2024-09-10,Transport,Credit Card,fuel at Johnson and Sons,326.95,3.37
52,2024-09-09,Groceries,Cash,Rice 5 kg Neal PLC,662.49,0.0
53,2024-09-23,Transport,Credit Card,train ticket to Chaney PLC,735.99,1.11
54,2024-09-08,Transport,UPI,train ticket to Bridges-Hansen,162.65,4.1
55,2024-09-04,Transport,Credit Card,fuel at Davis and Sons,613.74,1.98
56,2024-09-17,Shopping,Cash,"clothes Myntra Bell, Davidson and Turner",166.54,0.0
57,2024-09-06,entertainment,Credit Card,Club Chan-Rogers,903.18,2.95
